company_id,period,revenue_consensus,ebitda_consensus,eps_consensus,guidance_low,guidance_high,revenue_est_ntm,ebitda_est_ntm,eps_est_ntm,num_analysts,revenue_est_ntm_30d_ago,eps_est_ntm_30d_ago,revenue_est_ntm_90d_ago,eps_est_ntm_90d_ago,next_earnings_date,source
ADBE,2025-06-30,5963.056800350306,2429.050076575215,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2025-09-30,5915.469947470379,2420.250403296744,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2025-12-31,6078.703976104259,2448.485649708839,,,,,,,10,,,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2026-03-31,6484.684231149997,2709.4361861330062,,,,25627.17775737737,10493.801614714743,7554.1118584703745,5,26008.810158588625,7666.605472666209,25805.34824861999,7606.631095409679,,Synthetic demo series (derived from public demo actuals)
ADBE,2026-06-30,6784.957725944516,2584.1561011696153,,,,26312.265790142963,10578.996933087481,7548.669314903702,10,26260.380950336326,7533.784184855199,26249.419124694155,7530.639370283914,,Synthetic demo series (derived from public demo actuals)
AMZN,2025-03-31,151565.1529407541,35136.17192994294,,,,,,,7,,,,,,Synthetic demo series (derived from public demo actuals)
AMZN,2025-06-30,173182.4051298052,38274.493797636394,,,,,,,8,,,,,,Synthetic demo series (derived from public demo actuals)
AMZN,2025-09-30,180420.00751397,45592.75324990407,,,,,,,5,,,,,,Synthetic demo series (derived from public demo actuals)
AMZN,2025-12-31,213617.39734984632,46825.98205284739,,,,748779.6180373465,172687.71979444532,81121.16895648731,11,755073.3960929834,81803.02329750717,763140.1116351768,82676.95386220045,,Synthetic demo series (derived from public demo actuals)
AMZN,2026-03-31,179767.20249764016,58774.02376748254,,,,809267.084692223,205306.40584137494,98925.96523835511,6,807547.4495270351,98715.75457763273,815846.825323001,99730.28213846145,,Synthetic demo series (derived from public demo actuals)
BMOB3.SA,2025-03-31,376.7349080309094,60.0479067492701,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
BMOB3.SA,2025-06-30,410.756068079954,70.33089352421685,,,,,,,13,,,,,,Synthetic demo series (derived from public demo actuals)
BMOB3.SA,2025-09-30,446.94914990092076,75.44071672490844,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
BMOB3.SA,2025-12-31,471.9031479874606,65.31752277542745,,,,1760.2564357293745,279.25433770649846,162.55637545787292,4,1755.2215262781044,162.0914110273819,1743.672949065418,161.02492161408694,,Synthetic demo series (derived from public demo actuals)
BMOB3.SA,2026-03-31,471.0917521593236,76.11722406861503,,,,1872.462584288597,298.3111852043227,166.89015332194933,13,1862.4502162898802,165.99776399228136,1902.734657953233,169.58826385171665,,Synthetic demo series (derived from public demo actuals)
CRM,2025-06-30,9594.517883858534,2788.645002839009,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
CRM,2025-09-30,10364.732079742258,3208.5147661584874,,,,,,,6,,,,,,Synthetic demo series (derived from public demo actuals)
CRM,2025-12-31,10276.143311141846,3306.7179156681677,,,,,,,9,,,,,,Synthetic demo series (derived from public demo actuals)
CRM,2026-03-31,10958.52494645401,3175.7456369513116,,,,43732.293492404075,13282.400614718848,7853.382602597404,5,44094.08091542502,7918.351869628522,43012.0174205174,7724.03645767124,,Synthetic demo series (derived from public demo actuals)
CRM,2026-06-30,11530.789192627395,4224.24209922896,,,,46292.74485983637,14862.015032402112,8671.850662179066,7,45874.208435397755,8593.447763832828,47996.85866286968,8991.076071171483,,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2025-03-31,154.12126798648643,49.14540534284849,,,,,,,8,,,,,,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2025-06-30,158.42212177950648,49.893707414857225,,,,,,,10,,,,,,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2025-09-30,153.87512709666223,47.47547403451294,,,,,,,9,,,,,,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2025-12-31,163.59152253978857,36.63829851490656,,,,680.4981729269759,196.66410184841612,115.74042544465249,11,680.0550126964915,115.66505190853292,684.2935523151879,116.38595080032843,,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2026-03-31,167.4208710723611,48.33909595856544,,,,692.4056472473284,195.62835973063045,110.06143655457835,5,686.3745924118072,109.1027693892024,679.8383676763583,108.06380287168913,,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-03-31,91650.88980526062,47328.0490018648,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-06-30,98691.04323792305,40479.70136073497,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-09-30,102295.9787783201,49706.96498326644,,,,,,,5,,,,,,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-12-31,109585.01187868058,43082.36497661928,,,,415345.2023846635,186308.7238275132,136273.91575049207,5,411128.2055798257,134890.327679646,419395.9336125317,137602.9524238546,,Synthetic demo series (derived from public demo actuals)
GOOGL,2026-03-31,105785.21015652888,80005.67150978533,,,,444488.60397016676,230203.5599557207,168546.26937543633,8,444096.1619826463,168397.45873698115,436860.6378050387,165653.80997699316,,Synthetic demo series (derived from public demo actuals)
LWSA3.SA,2025-03-31,346.54673027419324,59.258509147368855,,,,,,,7,,,,,,Synthetic demo series (derived from public demo actuals)
LWSA3.SA,2025-06-30,375.21037987313446,86.77703433549418,,,,,,,7,,,,,,Synthetic demo series (derived from public demo actuals)
LWSA3.SA,2025-09-30,383.72879579686145,-342.9702840356095,,,,,,,10,,,,,,Synthetic demo series (derived from public demo actuals)
LWSA3.SA,2025-12-31,383.1561743578872,85.16689633700048,,,,1542.7008366757693,-122.06515137597773,-233.65445773621929,7,1528.8883329826842,-231.56244288560075,1577.8066155581494,-238.97151048757792,,Synthetic demo series (derived from public demo actuals)
LWSA3.SA,2026-03-31,355.8438458655725,76.59536544527595,,,,1531.9969398275161,-100.84485863487114,-223.04906987368412,7,1528.1460177853946,-222.48839996807192,1533.1622363703907,-223.21872968386916,,Synthetic demo series (derived from public demo actuals)
META,2025-03-31,41392.55144172522,21835.37121989766,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
META,2025-06-30,46895.905077014024,24658.10417853156,,,,,,,5,,,,,,Synthetic demo series (derived from public demo actuals)
META,2025-09-30,51239.53676106698,26851.192820399363,,,,,,,8,,,,,,Synthetic demo series (derived from public demo actuals)
