company_id,date,share_price,market_cap,enterprise_value,ev_to_ebitda_ltm,ev_to_revenue_ltm,pe_ltm,source
ADBE,2025-06-30,386.8800048828125,165971.52209472656,167206.52209472656,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2025-09-30,352.75,149566.0,150784.0,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2025-12-31,349.989990234375,145945.82592773438,146724.82592773438,,,,Synthetic demo series (derived from public demo actuals)
ADBE,2026-06-30,205.0200042724609,82418.0417175293,84144.0417175293,8.543409657582425,3.3393142994495317,11.401029425581587,Synthetic demo series (derived from public demo actuals)
AMZN,2026-03-31,208.2700042724609,2264728.02645874,2281986.02645874,14.641161204270086,3.0722398495087884,24.942488011396062,Synthetic demo series (derived from public demo actuals)
CRM,2026-03-31,186.6699981689453,175469.7982788086,182581.7982788086,14.550669292222553,4.396912661741327,23.530883502589326,Synthetic demo series (derived from public demo actuals)
CRM,2026-06-30,156.66000366210938,136450.86318969727,166795.86318969727,12.694715213463526,3.8944608370425944,17.007461447051885,Synthetic demo series (derived from public demo actuals)
CSUD3.SA,2025-12-31,16.950000762939453,700.8600727965355,707.8890727965355,4.015526143563575,1.135294545717257,6.608707817903985,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-06-30,176.22999572753906,2149653.487884521,2152224.487884521,,,,Synthetic demo series (derived from public demo actuals)
GOOGL,2025-12-31,313.0,3827364.0,3843203.0,25.5914965873148,9.540342619967879,28.957887569039872,Synthetic demo series (derived from public demo actuals)
GOOGL,2026-03-31,287.5599975585937,3519159.2501220703,3558597.2501220703,22.067451631663587,8.422735320372523,21.966189267215558,Synthetic demo series (derived from public demo actuals)
META,2025-03-31,576.3599853515625,1492772.3620605469,1492851.3620605469,,,,Synthetic demo series (derived from public demo actuals)
META,2025-06-30,738.0900268554688,1896891.3690185547,1913718.3690185547,,,,Synthetic demo series (derived from public demo actuals)
META,2025-09-30,734.3800048828125,1888825.3725585935,1907472.3725585935,,,,Synthetic demo series (derived from public demo actuals)
META,2025-12-31,660.0900268554688,1693130.918884277,1716001.918884277,16.841380274057602,8.538809836958063,28.005076563635534,Synthetic demo series (derived from public demo actuals)
META,2026-03-31,572.1300048828125,1466941.3325195312,1502263.3325195312,13.74339785303483,6.988506491935929,20.782032562929878,Synthetic demo series (derived from public demo actuals)
MSFT,2025-03-31,375.3900146484375,2800784.899291992,2814837.899291992,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-06-30,497.4100036621094,3711176.037322998,3724085.037322998,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-09-30,517.9500122070312,3867014.7911376953,3881373.7911376953,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-12-31,483.6199951171875,3607805.1635742183,3623771.1635742183,19.720666994499297,11.863596571564916,30.251087216164564,Synthetic demo series (derived from public demo actuals)
MSFT,2026-03-31,370.1700134277344,2755915.7499694824,2764072.7499694824,14.352407495713512,8.684597028241424,22.009293939827838,Synthetic demo series (derived from public demo actuals)
NFLX,2025-03-31,93.25299835205078,407480.1666590881,415297.2366590881,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-06-30,133.91299438476562,582364.8473703003,588640.6483703003,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-09-30,119.89199829101562,520378.0304623413,525553.7634623413,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-12-31,93.76000213623048,404775.4306624145,410204.58566241455,13.636142249582445,9.078730027402642,36.860761465199886,Synthetic demo series (derived from public demo actuals)
NFLX,2026-03-31,96.1500015258789,413294.7241088944,415395.4681088944,13.354426359369233,8.85893663852394,30.903680165251515,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-03-31,16.760000228881836,812.860011100769,1110.9410111007692,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-06-30,15.175073623657228,734.5162053418923,1081.1922053418923,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-09-30,16.90999984741211,880.1147620582581,1068.769762058258,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-12-31,15.90999984741211,902.4272352150994,1369.7902352150993,7.35959680004674,0.8760361258532903,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2026-03-31,19.5,1106.0547615,1612.2947615,6.329475995964323,0.9977225894583767,25.63219303144771,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2026-03-31,34.939998626708984,20851.91166043091,23999.34966043091,15.307347764576123,4.115894671475118,23.769309123649386,Synthetic demo series (derived from public demo actuals)
